COUNTRY,WEBSITE,
Albania,(http://www.euro.who.int/en/countries/albania),
Andorra,(http://www.euro.who.int/en/countries/andorra),
Armenia,(http://www.euro.who.int/en/countries/armenia),
Austria,(http://www.euro.who.int/en/countries/austria),
Azerbaijan,(http://www.euro.who.int/en/countries/azerbaijan),
Belarus,(http://www.euro.who.int/en/countries/belarus),
Belgium,(http://www.euro.who.int/en/countries/belgium),
Bosnia and Herzegovina,(http://www.euro.who.int/en/countries/bosnia-and-herzegovina),
Bulgaria,(http://www.euro.who.int/en/countries/bulgaria),
Croatia,(http://www.euro.who.int/en/countries/croatia),
Cyprus,(http://www.euro.who.int/en/countries/cyprus),
Czechia,(http://www.euro.who.int/en/countries/czechia),
Denmark,(http://www.euro.who.int/en/countries/denmark),
Estonia,(http://www.euro.who.int/en/countries/estonia),
Finland,(http://www.euro.who.int/en/countries/finland),
France,(http://www.euro.who.int/en/countries/france),
Georgia,(http://www.euro.who.int/en/countries/georgia),
Germany,(http://www.euro.who.int/en/countries/germany),
Greece,(http://www.euro.who.int/en/countries/greece),
Hungary,(http://www.euro.who.int/en/countries/hungary),
Iceland,(http://www.euro.who.int/en/countries/iceland),
Ireland,(http://www.euro.who.int/en/countries/ireland),
Israel,(http://www.euro.who.int/en/countries/israel),
Italy,(http://www.euro.who.int/en/countries/italy),
Kazakhstan,(http://www.euro.who.int/en/countries/kazakhstan),
Kyrgyzstan,(http://www.euro.who.int/en/countries/kyrgyzstan),
Latvia,(http://www.euro.who.int/en/countries/latvia),
Lithuania,(http://www.euro.who.int/en/countries/lithuania),
Luxembourg,(http://www.euro.who.int/en/countries/luxembourg),
Malta,(http://www.euro.who.int/en/countries/malta),
Monaco,(http://www.euro.who.int/en/countries/monaco),
Montenegro,(http://www.euro.who.int/en/countries/montenegro),
Netherlands,(http://www.euro.who.int/en/countries/netherlands),
North,Macedonia,(http://www.euro.who.int/en/countries/north-macedonia)
Norway,(http://www.euro.who.int/en/countries/norway),
Poland,(http://www.euro.who.int/en/countries/poland),
Portugal,(http://www.euro.who.int/en/countries/portugal),
Republic of Moldova,(http://www.euro.who.int/en/countries/republic-of-moldova),
Romania,(http://www.euro.who.int/en/countries/romania),
San Marino,(http://www.euro.who.int/en/countries/san-marino),
Serbia,(http://www.euro.who.int/en/countries/serbia),
Slovakia,(http://www.euro.who.int/en/countries/slovakia),
Slovenia,(http://www.euro.who.int/en/countries/slovenia),
Spain,(http://www.euro.who.int/en/countries/spain),
Sweden,(http://www.euro.who.int/en/countries/sweden),
Switzerland,(http://www.euro.who.int/en/countries/switzerland),
Tajikistan,(http://www.euro.who.int/en/countries/tajikistan),
Turkey,(http://www.euro.who.int/en/countries/turkey),
Turkmenistan,(http://www.euro.who.int/en/countries/turkmenistan),
Ukraine,(http://www.euro.who.int/en/countries/ukraine),
United Kingdom of Great Britain and Northern Ireland,(http://www.euro.who.int/en/countries/united-kingdom-of-great-britain-and-northern-ireland),
Uzbekistan,(http://www.euro.who.int/en/countries/uzbekistan),
